Most current survey,OBJECTID_1,OBJECTID,SpeciesID,Region,SubRegion,Year,SiteName,NestPairs,ColSize (ha),Notes,Technique,ObserverID,,,,,
previous,1849,353,ANMU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island) Annis point,8000,35.3,,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1848,643,ANMU,Haida Gwaii,East coast Moresby Island,1993,(Kunghit Island) Annis point,3550,11.1, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1834,2030,ANMU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island) Jenkins point,800,8.9, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1833,103,ANMU,Haida Gwaii,East coast Moresby Island,1993,(Kunghit Island) Jenkins point,11,0, ,Total count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1060,258,ANMU,Haida Gwaii,East coast Moresby Island,1982,(Lyell island) Dodge point,10700,125.8, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1035,393,ANMU,Haida Gwaii,East coast Moresby Island,1985,East copper island,4400,17.8, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1025,131,ANMU,Haida Gwaii,East coast Moresby Island,1985,George island,11600,27.1, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,398,329,ANMU,Haida Gwaii,East coast Moresby Island,1983,Limestone Islands east,1500,14.9, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,397,218,ANMU,Haida Gwaii,East coast Moresby Island,1989,Limestone Islands east,1600,13.8, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,396,210,ANMU,Haida Gwaii,East coast Moresby Island,1995,Limestone Islands east,1300,13.8, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,369,312,ANMU,Haida Gwaii,East coast Moresby Island,1985,Reef island,5000,39.5,"Rodway et al 2016 has Reef 1989 (3576 ± 507 prs, col size 47.3ha) * not in CWS database; CWS Tech Report has Reef 1985 has 5000 nest prs, 7850 burrows",Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,2456,2061,ANMU,Haida Gwaii,West Coast Graham Island,1980,Frederick island,68000,109.4, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1179,196,ANMU,Haida Gwaii,West Coast Graham Island,1981,Langara Island,25500,116.6, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1177,568,ANMU,Haida Gwaii,West Coast Graham Island,1988,Langara island,24000,45.6, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1175,1904,ANMU,Haida Gwaii,West Coast Graham Island,1993,Langara Island,18200,28.5, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1176,1884,ANMU,Haida Gwaii,West Coast Graham Island,1999,Langara Island,13000,44.7, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,220,2051,ANMU,Haida Gwaii,West coast Moresby Island,1986,Helgesen island,7700,17.0,"main 15.4 ha, little 1.6ha",Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,245,1886,ANMU,Haida Gwaii,West coast Moresby Island,1986,Lihou island,6500,30.3, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
previous,1323,1885,ANMU,Haida Gwaii,West coast Moresby Island,1986,Saunders island,50,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
not include,,,ANMU,Haida Gwaii,East coast Moresby Island,2000,Rankine island west,26000,38.3,"SAR ANMU Mgmt Plan has 2000 Rankine west * not in CWS database; LW found data in Moira archived folder (pop'n estimate 26370 ± 3376 nest prs, col siz 38.3 ha)",,Moira Lemon's files,,,,,
not include,,,ANMU,Haida Gwaii,West coast Moresby Island,2011,Helgesen Island,500,8.0,"SAR ANMU Mgmt Plan has 2011 Helgesen 500 nest pr * not in CWS database; 27Feb18: Dan revised colony size based on 2016 mapping (Helgensen 4.49 ha, Little Helgensen 1.0 ha) but LW reviewed Gaston 2011 report & although no mention of colony size, makes reference to it including 7 ha & bit more so will keep 1995 colony size est",Transects,Gaston,,,,,
not include,,,ANMU,Haida Gwaii,West coast Moresby Island,2011,Lihou Island,2150,30.3,"SAR ANMU Mgmt Plan has 2011 Lihou * not in CWS database; LW reviewed Gaston 2011 report & although they didn't record colony size, description suggests similar to past survey (so LW kept 30.3 ha)",Transects,Gaston,,,,,
yes,1847,152,ANMU,Haida Gwaii,East coast Moresby Island,2004,(Kunghit Island) Annis point,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
yes,1832,179,ANMU,Haida Gwaii,East coast Moresby Island,2004,(Kunghit Island) Jenkins point,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
yes,1885,2068,ANMU,Haida Gwaii,East coast Moresby Island,1985,Arichika island,0,0,Extripated,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
yes,1907,296,ANMU,Haida Gwaii,East coast Moresby Island,1985,Bischof islands,0,0,Extripated,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
yes,989,2100,ANMU,Haida Gwaii,East coast Moresby Island,1985,Boulder island,0,0,Extripated,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
yes,937,375,ANMU,Haida Gwaii,East coast Moresby Island,1985,High island,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
yes,970,2089,ANMU,Haida Gwaii,East coast Moresby Island,1985,Rankine island east,0,0, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,,,
