Most current survey,OBJECTID_1,SpeciesID,Region,SubRegion,Year,SiteName,NestPairs,ColSize,Note,Technique,ObserverID,,,
previous,943,CAAU,Haida Gwaii,East coast Moresby Island,1986,Charles island,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
previous,945,CAAU,Haida Gwaii,East coast Moresby Island,1985,Charles island,10,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
previous,1027,CAAU,Haida Gwaii,East coast Moresby Island,1985,George island,5900,7, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
previous,1038,CAAU,Haida Gwaii,East coast Moresby Island,1985,East copper island,10900,9.3, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
previous,319,CAAU,Haida Gwaii,West coast Moresby Island,1985,Gordon islands,700,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
previous,222,CAAU,Haida Gwaii,West coast Moresby Island,1986,Helgesen island,3700,10.3, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
previous,247,CAAU,Haida Gwaii,West coast Moresby Island,1986,Lihou island,11200,17.9, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,953,CAAU,Haida Gwaii,East coast Moresby Island,1986,Annette island,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1886,CAAU,Haida Gwaii,East coast Moresby Island,1985,Arichika island,0,0,Extripated,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,944,CAAU,Haida Gwaii,East coast Moresby Island,1993,Charles Island,0,0, ,Total count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1056,CAAU,Haida Gwaii,East coast Moresby Island,1982,Tuft islets,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1911,CAAU,Haida Gwaii,East coast Moresby Island,1986,Hotspring island,10,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,403,CAAU,Haida Gwaii,East coast Moresby Island,1983,Low island,30,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1916,CAAU,Haida Gwaii,East coast Moresby Island,1984,House island,40,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,399,CAAU,Haida Gwaii,East coast Moresby Island,1983,Limestone Islands east,40,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1835,CAAU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island) Lyman point,50,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1921,CAAU,Haida Gwaii,East coast Moresby Island,1984,Murchison island,50,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,428,CAAU,Haida Gwaii,East coast Moresby Island,1983,Skedans islands,100,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1047,CAAU,Haida Gwaii,East coast Moresby Island,1985,Tar islands,120,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1070,CAAU,Haida Gwaii,East coast Moresby Island,1983,Titul island,170,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1928,CAAU,Haida Gwaii,East coast Moresby Island,1984,Agglomerate island,200,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1934,CAAU,Haida Gwaii,East coast Moresby Island,1985,Kawas islets,200,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1072,CAAU,Haida Gwaii,East coast Moresby Island,1983,Lost islands,210,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1856,CAAU,Haida Gwaii,East coast Moresby Island,1985,Howay island,250,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,999,CAAU,Haida Gwaii,East coast Moresby Island,1985,Bolkus islands,960,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,1023,CAAU,Haida Gwaii,East coast Moresby Island,1985,Skincuttle island,1000,2, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
yes,372,CAAU,Haida Gwaii,East coast Moresby Island,1983,Reef island,1700,6.2, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,,,
