Most current survey,OBJECTID_1,SpeciesID,Region,SubRegion,Year,SiteName,NestPairs,Individual,ColSize (ha),Note_,Technique,ObserverID
previous,1531,TUPU,Vancouver Island,Scott Islands,1984,Triangle island,21400,,7.1, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1845,TUPU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island)Luxanna arch,,2,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1854,TUPU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island) south of Bowles Pt.,,3,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1839,TUPU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island) Lyman point,,80,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1842,TUPU,Haida Gwaii,East coast Moresby Island,1986,(Kunghit island) Lyman islet,,238,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1195,TUPU,Haida Gwaii,West Coast Graham Island,1986,Cox island,,23,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2513,TUPU,Haida Gwaii,West Coast Graham Island,1986,Hippa island,,40,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1321,TUPU,Haida Gwaii,West Coast Graham Island,1977,Marble island,,350,0, ,Partial Count,Royal British Columbia Provincial Museum
yes,1186,TUPU,Haida Gwaii,West Coast Graham Island,1981,Langara island,0,,0,Extripated,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1199,TUPU,Haida Gwaii,West Coast Graham Island,1981,Lucy island,0,,0,Extripated,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,228,TUPU,Haida Gwaii,West coast Moresby Island,1986,Helgesen island,,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,287,TUPU,Haida Gwaii,West coast Moresby Island,1977,Between islet,,1,0, ,Total Count,Royal British Columbia Provincial Museum
yes,325,TUPU,Haida Gwaii,West coast Moresby Island,1986,Gordon islands,,1,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,303,TUPU,Haida Gwaii,West coast Moresby Island,1986,Adam rocks,,4,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,259,TUPU,Haida Gwaii,West coast Moresby Island,1986,Bone point,,12,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,317,TUPU,Haida Gwaii,West coast Moresby Island,1986,Flatrock island,,16,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,298,TUPU,Haida Gwaii,West coast Moresby Island,1986,Keyhole rock,,26,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,255,TUPU,Haida Gwaii,West coast Moresby Island,1986,Lihou island,,27,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1325,TUPU,Haida Gwaii,West coast Moresby Island,1986,St. James island,,30,0, ,Partial Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,313,TUPU,Haida Gwaii,West coast Moresby Island,1986,S'Gaang Gwaii,,32,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,283,TUPU,Haida Gwaii,West coast Moresby Island,1977,Cone islet,,60,0, ,Total Count,Royal British Columbia Provincial Museum
yes,2543,TUPU,Haida Gwaii,West coast Moresby Island,1986,Kerouard islands,,900,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2110,TUPU,Northern Mainland Coast, ,1988,Wells rocks,,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2145,TUPU,Northern Mainland Coast, ,1988,Sinnett islets,,1,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2139,TUPU,Northern Mainland Coast, ,1988,Byers islands,,6,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2119,TUPU,Northern Mainland Coast, ,1988,Moore islands,,6,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2152,TUPU,Northern Mainland Coast, ,1988,Conroy island,10,,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1276,TUPU,Vancouver Island,Gulf Islands - southern Strait of Georgia,1983,Mandarte island and islet,,1,0,includes the south islet,Total Count,Royal British Columbia Provincial Museum
yes,1474,TUPU,Vancouver Island,Queen Charlotte Strait to Johnstone Strait,1985,Pine island,0,,0,Extripated,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2254,TUPU,Vancouver Island,Queen Charlotte Strait to Johnstone Strait,1987,Storm islands,0,,0,Extripated,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,482,TUPU,Vancouver Island,Scott Islands,1987,Beresford island,2100,,0.2, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1553,TUPU,Vancouver Island,Scott Islands,1987,Sartine island,6400,,1.7, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1532,TUPU,Vancouver Island,Scott Islands,1989,Triangle Island,26400,,7.1,"Puffin Rock 2.3 ha, Main island 4.8 ha",Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1582,TUPU,Vancouver Island,West coast Vancouver Island,1988,McQuarrie islets,,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,540,TUPU,Vancouver Island,West coast Vancouver Island,1988,Moos islet,,0,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,87,TUPU,Vancouver Island,West coast Vancouver Island,1982,Florencia islet,,1,0, ,Total Count,Royal British Columbia Provincial Museum
yes,2551,TUPU,Vancouver Island,West coast Vancouver Island,1988,Gillam islands,,3,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,547,TUPU,Vancouver Island,West coast Vancouver Island,1988,Thornton islands,,4,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1576,TUPU,Vancouver Island,West coast Vancouver Island,1988,Clark island,,5,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1603,TUPU,Vancouver Island,West coast Vancouver Island,1988,Cleland island,,10,0,includes Murre Reef,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,1561,TUPU,Vancouver Island,West coast Vancouver Island,1988,Volcanic islets,2,,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2638,TUPU,Vancouver Island,West coast Vancouver Island,1988,Seabird rocks,8,,0, ,Total Count,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
yes,2576,TUPU,Vancouver Island,West coast Vancouver Island,1989,Solander island,3100,,1.0, ,Transects,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
