"","colony","species","year","plot","plotgroup","count"
"1","Ramsay Island","ANMU",1984,"p1","anmuplots",20
"57","Ramsay Island","ANMU",1992,"p1","anmuplots",21
"113","Ramsay Island","ANMU",2002,"p1","anmuplots",22
"169","Ramsay Island","ANMU",2007,"p1","anmuplots",21
"225","Ramsay Island","ANMU",2012,"p1","anmuplots",39
"1681","Ramsay Island","ANMU",1984,"p2","anmuplots",7
"1737","Ramsay Island","ANMU",1992,"p2","anmuplots",10
"1793","Ramsay Island","ANMU",2002,"p2","anmuplots",12
"1849","Ramsay Island","ANMU",2007,"p2","anmuplots",16
"1905","Ramsay Island","ANMU",2012,"p2","anmuplots",16
"3361","Ramsay Island","ANMU",1984,"p3","anmuplots",11
"3417","Ramsay Island","ANMU",1992,"p3","anmuplots",13
"3473","Ramsay Island","ANMU",2002,"p3","anmuplots",10
"3529","Ramsay Island","ANMU",2007,"p3","anmuplots",11
"3585","Ramsay Island","ANMU",2012,"p3","anmuplots",19
"5041","Ramsay Island","ANMU",1984,"p4","anmuplots",35
"5097","Ramsay Island","ANMU",1992,"p4","anmuplots",42
"5153","Ramsay Island","ANMU",2002,"p4","anmuplots",47
"5209","Ramsay Island","ANMU",2007,"p4","anmuplots",45
"5265","Ramsay Island","ANMU",2012,"p4","anmuplots",47
"6721","Ramsay Island","ANMU",1984,"p5","anmuplots",22
"6777","Ramsay Island","ANMU",1992,"p5","anmuplots",29
"6833","Ramsay Island","ANMU",2002,"p5","anmuplots",34
"6889","Ramsay Island","ANMU",2007,"p5","anmuplots",37
"6945","Ramsay Island","ANMU",2012,"p5","anmuplots",40
"8401","Ramsay Island","ANMU",1984,"p6","anmuplots",28
"8457","Ramsay Island","ANMU",1992,"p6","anmuplots",32
"8513","Ramsay Island","ANMU",2002,"p6","anmuplots",36
"8569","Ramsay Island","ANMU",2007,"p6","anmuplots",29
"8625","Ramsay Island","ANMU",2012,"p6","anmuplots",23
"10081","Ramsay Island","ANMU",1984,"p7","anmuplots",7
"10137","Ramsay Island","ANMU",1992,"p7","anmuplots",9
"10193","Ramsay Island","ANMU",2002,"p7","anmuplots",13
"10249","Ramsay Island","ANMU",2007,"p7","anmuplots",18
"10305","Ramsay Island","ANMU",2012,"p7","anmuplots",42
"11761","Ramsay Island","ANMU",1984,"p8","anmuplots",24
"11817","Ramsay Island","ANMU",1992,"p8","anmuplots",34
"11873","Ramsay Island","ANMU",2002,"p8","anmuplots",45
"11929","Ramsay Island","ANMU",2007,"p8","anmuplots",34
"11985","Ramsay Island","ANMU",2012,"p8","anmuplots",55
"13441","Ramsay Island","ANMU",1984,"p9","anmuplots",12
"13553","Ramsay Island","ANMU",2002,"p9","anmuplots",13
"13609","Ramsay Island","ANMU",2007,"p9","anmuplots",18
"13665","Ramsay Island","ANMU",2012,"p9","anmuplots",24
"15121","Ramsay Island","ANMU",1984,"p10","anmuplots",14
"15177","Ramsay Island","ANMU",1992,"p10","anmuplots",23
"15233","Ramsay Island","ANMU",2002,"p10","anmuplots",29
"15289","Ramsay Island","ANMU",2007,"p10","anmuplots",29
"15345","Ramsay Island","ANMU",2012,"p10","anmuplots",31
