"","index.lci","X25.","index","X75.","index.uci","node","year","colony","species","colonyname","nknots"
"etapredr[1,1]",11151.1704756141,12445.7745878511,13091.5193317008,13747.7429605981,15029.458220174,"etapredr[1,1]",1984,1,"ANMU","George Island",6
"etapredr[1,2]",11499.0932032726,12741.8272320934,13362.3670029889,13971.5455888466,15183.2080663275,"etapredr[1,2]",1985,1,"ANMU","George Island",6
"etapredr[1,3]",11830.0585098122,13032.2824311329,13648.1933597454,14219.8467840873,15353.374914274,"etapredr[1,3]",1986,1,"ANMU","George Island",6
"etapredr[1,4]",12167.1603749493,13342.8556673966,13940.4434438866,14488.2736781305,15579.9027983402,"etapredr[1,4]",1987,1,"ANMU","George Island",6
"etapredr[1,5]",12527.4279397906,13678.6660155653,14254.1071548349,14782.3034940052,15825.0239375297,"etapredr[1,5]",1988,1,"ANMU","George Island",6
"etapredr[1,6]",12946.2383781502,14051.0128540517,14600.1291237309,15099.4806667141,16066.8945832164,"etapredr[1,6]",1989,1,"ANMU","George Island",6
"etapredr[1,7]",13425.7684276475,14465.316318126,14967.8240768646,15427.7050493996,16304.3954335293,"etapredr[1,7]",1990,1,"ANMU","George Island",6
"etapredr[1,8]",13989.0556084669,14919.7857344083,15360.5976781122,15771.764232006,16536.729589209,"etapredr[1,8]",1991,1,"ANMU","George Island",6
"etapredr[1,9]",14640.7536021573,15412.102011276,15774.0254989811,16115.5428441092,16742.4016252002,"etapredr[1,9]",1992,1,"ANMU","George Island",6
"etapredr[1,10]",15346.7040868358,15926.0196859987,16199.712369557,16459.7601058521,16936.2407380943,"etapredr[1,10]",1993,1,"ANMU","George Island",6
"etapredr[1,11]",16068.5845380877,16441.1242085846,16621.9406690159,16791.4792213356,17115.971242948,"etapredr[1,11]",1994,1,"ANMU","George Island",6
"etapredr[1,12]",16767.063514077,16941.0637754195,17025.4160065173,17106.9746527423,17270.259163895,"etapredr[1,12]",1995,1,"ANMU","George Island",6
"etapredr[1,13]",17400,17400,17400,17400,17400,"etapredr[1,13]",1996,1,"ANMU","George Island",6
"etapredr[1,14]",17504.2932127689,17658.8001094753,17734.2688945686,17805.0675111161,17949.5788953164,"etapredr[1,14]",1997,1,"ANMU","George Island",6
"etapredr[1,15]",17570.9104551512,17875.1658236069,18016.4874094648,18151.4832941876,18417.3947530968,"etapredr[1,15]",1998,1,"ANMU","George Island",6
"etapredr[1,16]",17595.4380031925,18036.4125642335,18250.4135078873,18449.475485691,18821.3204295716,"etapredr[1,16]",1999,1,"ANMU","George Island",6
"etapredr[1,17]",17567.521575492,18141.5339560129,18437.429347681,18704.6219063158,19207.8087516927,"etapredr[1,17]",2000,1,"ANMU","George Island",6
