"","index.lci","X25.","index","X75.","index.uci","node","year","colony","species","colonyname","nknots"
"etapred[1,1]",29.5911645737544,32.0931282261704,33.4532097228262,34.7835413731958,37.4076587219253,"etapred[1,1]",1984,1,"ANMU","George Island",6
"etapred[1,2]",30.5316863135327,32.853070430746,34.1265176179464,35.3568698574312,37.8092864944293,"etapred[1,2]",1985,1,"ANMU","George Island",6
"etapred[1,3]",31.4564937774458,33.6335104924692,34.8273485635938,35.9735485477704,38.2968275006569,"etapred[1,3]",1986,1,"ANMU","George Island",6
"etapred[1,4]",32.3421175713182,34.4147953236583,35.5707589871075,36.6675245695793,38.8974085303194,"etapred[1,4]",1987,1,"ANMU","George Island",6
"etapred[1,5]",33.1996272340795,35.2608133126895,36.3758948439755,37.4597075564271,39.6321203042571,"etapred[1,5]",1988,1,"ANMU","George Island",6
"etapred[1,6]",34.1524704270356,36.1567824282509,37.2441073244134,38.3108239805002,40.3975402789534,"etapred[1,6]",1989,1,"ANMU","George Island",6
"etapred[1,7]",35.1837853923522,37.1287625608922,38.1907039782994,39.2252910766692,41.2591868512386,"etapred[1,7]",1990,1,"ANMU","George Island",6
"etapred[1,8]",36.3252207564407,38.1867599713884,39.2051880349952,40.2201452910175,42.2218311054852,"etapred[1,8]",1991,1,"ANMU","George Island",6
"etapred[1,9]",37.4584320009129,39.2864368892161,40.279994132282,41.299481767485,43.2899196378779,"etapred[1,9]",1992,1,"ANMU","George Island",6
"etapred[1,10]",38.5299978557033,40.3761998612859,41.3875355483673,42.425754745646,44.4848502843987,"etapred[1,10]",1993,1,"ANMU","George Island",6
"etapred[1,11]",39.4721270875769,41.4192691620613,42.4782713729421,43.5636483578605,45.8115031733568,"etapred[1,11]",1994,1,"ANMU","George Island",6
"etapred[1,12]",40.2605712326148,42.3700252180227,43.5012023487806,44.7096428697776,47.2476457902747,"etapred[1,12]",1995,1,"ANMU","George Island",6
"etapred[1,13]",41.0629479819559,43.2533197859111,44.4598043682118,45.774460959576,48.6104365867154,"etapred[1,13]",1996,1,"ANMU","George Island",6
"etapred[1,14]",41.7760234167339,44.0308872783374,45.2871029347399,46.6880231193739,49.7025162828049,"etapred[1,14]",1997,1,"ANMU","George Island",6
"etapred[1,15]",42.414354458987,44.7093866164526,45.9901172665587,47.4026026660206,50.5383350828377,"etapred[1,15]",1998,1,"ANMU","George Island",6
"etapred[1,16]",42.9979609644262,45.2918832073769,46.5662310063865,47.9733203700887,51.0266580479157,"etapred[1,16]",1999,1,"ANMU","George Island",6
"etapred[1,17]",43.5380387990249,45.8012764424189,47.0415924386448,48.3948057511053,51.2964984458819,"etapred[1,17]",2000,1,"ANMU","George Island",6
"etapred[1,18]",44.0275116676388,46.2416341395459,47.4544924682873,48.7501112267735,51.4275221187433,"etapred[1,18]",2001,1,"ANMU","George Island",6
"etapred[1,19]",44.3968414496431,46.6067516093976,47.8063550586226,49.0512842993848,51.6188553321892,"etapred[1,19]",2002,1,"ANMU","George Island",6
"etapred[1,20]",44.7307248705815,46.9613544897819,48.1372480293299,49.3905499809664,51.8892518066391,"etapred[1,20]",2003,1,"ANMU","George Island",6
"etapred[1,21]",45.0869829527071,47.3423902730719,48.5339189356371,49.7945222369897,52.2964206880294,"etapred[1,21]",2004,1,"ANMU","George Island",6
"etapred[1,22]",45.5235183455171,47.7783843827549,49.0117762472098,50.2810158281556,52.7859218344388,"etapred[1,22]",2005,1,"ANMU","George Island",6
