"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"popr[1]",55351.1704756141,56645.7745878511,57291.5193317008,57947.7429605981,59229.458220174,"popr[1]",1984,"ANMU",6
"popr[2]",56052.0339730072,57412.6755255203,58070.5289843132,58694.9234039631,59865.5508033169,"popr[2]",1985,"ANMU",6
"popr[3]",56406.2667069554,58091.3936316866,58857.8635628919,59591.1675526629,60939.8088051337,"popr[3]",1986,"ANMU",6
"popr[4]",56672.2497456883,58743.3279659951,59670.1914524377,60558.4113876523,62324.2049589819,"popr[4]",1987,"ANMU",6
"popr[5]",57007.065119578,59431.1292167345,60507.3591683484,61559.7834764445,63801.1296721468,"popr[5]",1988,"ANMU",6
"popr[6]",57524.2940509878,60181.3465615227,61385.2578776919,62589.3161691255,65313.4495895115,"popr[6]",1989,"ANMU",6
"popr[7]",58311.4562588529,61030.6535468124,62319.1935665143,63628.2378857965,66719.4616598623,"popr[7]",1990,"ANMU",6
"popr[8]",59230.9223075535,61944.2459037354,63301.4118771174,64696.5033992424,68098.2786234684,"popr[8]",1991,"ANMU",6
"popr[9]",60239.7709511923,62916.5577484418,64355.3297426238,65791.8509591688,69430.2162190044,"popr[9]",1992,"ANMU",6
"popr[10]",61230.6860335767,63918.9335388205,65409.6997301959,66895.0787429388,70625.8881867361,"popr[10]",1993,"ANMU",6
"popr[11]",62129.6181128079,64897.8682712295,66447.9205282716,67991.3153080837,71858.8805278474,"popr[11]",1994,"ANMU",6
"popr[12]",62946.9643691645,65824.141879472,67431.6772209603,69073.4174970192,72945.797601426,"popr[12]",1995,"ANMU",6
"popr[13]",63647.2538054469,66667.661520082,68322.0509875664,70063.660569413,73899.3148414895,"popr[13]",1996,"ANMU",6
"popr[14]",64237.3287825938,67409.0345124229,69125.7333470687,70895.5243901262,74801.2677767699,"popr[14]",1997,"ANMU",6
"popr[15]",64836.3094872405,68072.8357971125,69790.5953258,71544.0137939075,75406.7594274422,"popr[15]",1998,"ANMU",6
"popr[16]",65430.5466925548,68641.2684037108,70353.8563610665,72058.9620172493,75685.0894436123,"popr[16]",1999,"ANMU",6
