"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"pop[1]",35.3040304775172,36.9586240563984,37.7678787314131,38.6086735296301,40.2268384012416,"pop[1]",1984,"ANMU",6
"pop[2]",36.0301894783115,37.523313975086,38.2817968946934,39.0539641797675,40.5845644295309,"pop[2]",1985,"ANMU",6
"pop[3]",36.6371094577653,38.0740845618619,38.8085782771221,39.5695516164691,41.0676493786973,"pop[3]",1986,"ANMU",6
"pop[4]",37.1390321731335,38.6047724954678,39.3611693647849,40.1456276542618,41.7137882865729,"pop[4]",1987,"ANMU",6
"pop[5]",37.6163222598269,39.1616549126552,39.9425451101217,40.7730482924025,42.4666827728364,"pop[5]",1988,"ANMU",6
"pop[6]",38.1448505406105,39.7540073758238,40.5702719105369,41.4321086977998,43.3043728587682,"pop[6]",1989,"ANMU",6
"pop[7]",38.7679807548127,40.4011846403325,41.2515443573903,42.1286654014074,44.1387599309652,"pop[7]",1990,"ANMU",6
"pop[8]",39.5040354455065,41.1054957065642,41.9622614213105,42.8475692623657,44.9795255336514,"pop[8]",1991,"ANMU",6
"pop[9]",40.2678089993822,41.8469890009714,42.7029578845766,43.6046778961981,45.7866851421871,"pop[9]",1992,"ANMU",6
"pop[10]",41.0089895567007,42.6022584569748,43.4421836797344,44.3764139833074,46.595587031768,"pop[10]",1993,"ANMU",6
"pop[11]",41.6992545940285,43.311897164142,44.1797982857266,45.1524443828638,47.4110363140836,"pop[11]",1994,"ANMU",6
"pop[12]",42.3540811641783,43.9816333197622,44.8884736151868,45.8971099674367,48.1542394656385,"pop[12]",1995,"ANMU",6
"pop[13]",42.9110846628823,44.5992852167595,45.5346919875135,46.566633418315,48.8136203801907,"pop[13]",1996,"ANMU",6
"pop[14]",43.4415861491732,45.1437598155739,46.0951515153203,47.1264966840039,49.3730761557005,"pop[14]",1997,"ANMU",6
"pop[15]",43.9115455534684,45.6391636081592,46.5725510240075,47.5714911811309,49.7374312359462,"pop[15]",1998,"ANMU",6
"pop[16]",44.3950654886248,46.0978417139256,46.9647003679193,47.9109777051887,49.8971610966085,"pop[16]",1999,"ANMU",6
"pop[17]",44.8961086262564,46.4970030837086,47.3034582979787,48.1580288612398,49.9153827903625,"pop[17]",2000,"ANMU",6
"pop[18]",45.3423475716396,46.858165559279,47.6100031765646,48.4070527341714,49.9654378366819,"pop[18]",2001,"ANMU",6
"pop[19]",45.713181357187,47.1901158496985,47.9190490307089,48.6512810922438,50.1055272806047,"pop[19]",2002,"ANMU",6
