"","colony","col.f","time","start.year","end.year","trend","trend.lci","trend.uci","pop.change","pop.change.lci","pop.change.uci","weight.p","NestPairs","change.from.min","change.from.min.lci","change.from.min.uci","change.from.max","change.from.max.lci","change.from.max.uci","species"
"1","George Island",1,"long-term",1984,2019,1.459,0.99,1.926,66,41.1,95,0.28,17400,66,41.1,95,0.099999999999989,-6.29999999999999,4,"ANMU"
"57","Ramsay Island",2,"long-term",1984,2019,1.874,1.216,2.527,91.5,52.7,139.5,0.3,18200,91.5,52.7,139.5,0,0,0,"ANMU"
"121","Rankine Island",3,"long-term",1984,2019,0.357,-0.128,0.837,13.3,-4.4,33.9,0.42,26000,13.3,-4.4,33.9,0,0,0,"ANMU"
"11","George Island",1,"short-term",2009,2019,0.718,-0.82,1.888,7.40000000000001,-7.9,20.6,0.28,17400,NA,NA,NA,NA,NA,NA,"ANMU"
"571","Ramsay Island",2,"short-term",2009,2019,1.717,-0.451,3.667,18.6,-4.4,43.3,0.3,18200,NA,NA,NA,NA,NA,NA,"ANMU"
"1211","Rankine Island",3,"short-term",2009,2019,0.319,-1.189,1.528,3.2,-11.3,16.4,0.42,26000,NA,NA,NA,NA,NA,NA,"ANMU"
"7","regional",NA,"long-term",1984,2019,1.211,0.803,1.574,52.4,32.3,72.7,NA,NA,52.4,32.3,72.7,0,0,0,"ANMU"
"8","regional",NA,"short-term",2009,2019,0.986,-0.598,2.081,10.3,-5.80000000000001,22.9,NA,NA,NA,NA,NA,NA,NA,NA,"ANMU"
"9","regional.sum",NA,"long-term",1984,2019,1.175,0.761,1.547,50.5,30.4,71.1,NA,NA,50.5,30.4,71.1,0,0,0,"ANMU"
"10","regional.sum",NA,"short-term",2009,2019,0.993,-0.603,2.13,10.4,-5.90000000000001,23.5,NA,NA,NA,NA,NA,NA,NA,NA,"ANMU"
"13","East Copper Island",1,"long-term",1984,2019,0.088,-0.877,1.049,3.09999999999999,-26.5,44.1,0.02,10600,19.3,-13.9,64.5,-8.2,-34.2,29.9,"CAAU"
"37","Ramsay Island",2,"long-term",1984,2019,1.102,-0.179,2.427,46.8,-6.1,131.5,0.02,12900,46.8,-6.1,131.5,-1.5,-17.3,16.3,"CAAU"
"81","Rankine Island",3,"long-term",1984,2019,-0.762,-1.61,0.103,-23.5,-43.3,3.69999999999999,0.04,22000,9.5,-17.2,45.1,-28.2,-49.3,2.49999999999999,"CAAU"
"1212","Triangle Island",4,"long-term",1984,2019,-0.258,-0.901,0.454,-8.6,-27.2,17.2,0.89,548000,18.7,2.89999999999999,38.1,-26.4,-36.7,-14,"CAAU"
